순위,팀명,경기 수,승리 수,패배 수,무승부 수,승률,게임차,최근 10경기 전적,연속 현황,홈 경기 전적,원정 경기 전적,날짜
1,KIA,70,41,28,1,0.594,0,6승0무4패,3승,17-1-14,24-0-14,2024.06.16
2,LG,72,40,30,2,0.571,1.5,5승0무5패,1승,20-1-12,20-1-18,2024.06.16
3,두산,73,40,31,2,0.563,2,6승0무4패,1패,22-1-16,18-1-15,2024.06.16
4,삼성,70,38,31,1,0.551,3,5승0무5패,2패,17-0-16,21-1-15,2024.06.16
5,SSG,70,36,33,1,0.522,5,6승0무4패,1패,17-1-17,19-0-16,2024.06.16
6,NC,70,34,34,2,0.500,6.5,6승1무3패,2승,18-0-18,16-2-16,2024.06.16
7,한화,69,30,37,2,0.448,10,4승1무5패,1승,15-2-18,15-0-19,2024.06.16
8,롯데,68,29,37,2,0.439,10.5,5승0무5패,1패,20-1-16,9-1-21,2024.06.16
9,KT,70,28,41,1,0.406,13,2승0무8패,4패,15-0-19,13-1-22,2024.06.16
10,키움,68,27,41,0,0.397,13.5,4승0무6패,1승,14-0-22,13-0-19,2024.06.16
